Scheme Name,Address,Tags,Description,1-Bedroom,2-Bedroom,3-Bedroom,Studio,Private Room,Station Info,City
Boundary Road,"Boundary Road, Merton, London, SW19 2AW","['Furnished', 'Common area', 'Wifi', 'Social events', 'Smoke alarms']","Located in South West London, Boundary Road is a co-living development that offers attractive, convenient accommodations and beautiful green communal space.",,,,,725.0,"['Colliers Wood | 0.3 mi', 'Tooting Broadway | 0.5 mi', 'Haydons Road | 0.6 mi']",London
Bowling Green Street,"1 Bowling Green Street, Lambeth, London, SE11 4QA","['Communal garden', 'Smoke alarms', 'Bed and mattress', 'Built-in wardrobe', 'Bedside tables']","Located in South East London, Bowling Green Street is a build-to-rent that has generous living areas, beneficial amenities and great access to public transport.",,1850.0,,,,"['Oval | 0.2 mi', 'Kennington | 0.4 mi', 'Vauxhall | 0.5 mi']",London
Bronson Road,"Bronson Road, Merton, London, SW20 8DZ","['Pet friendly', 'Furnished', 'Common area', 'Wifi', 'Social events']","Located in South West London, Bronson Road is a co-living development that offers attractive, convenient accommodations and beautiful green communal space.",,,,,725.0,"['Wimbledon Chase | 0.2 mi', 'Raynes Park | 0.5 mi', 'Wimbledon | 0.9 mi']",London
Canford Road,"Canford Road, Wandsworth, London, SW11 6PD","['Furnished', 'Common area', 'Wifi', 'Social events', 'Communal garden']","Located in South West London, Canford Road is a co-living facility that promises safety, support and additional benefits for tenants.",,,,,850.0,"['Clapham Junction | 0.6 mi', 'Clapham South | 0.6 mi', 'Wandsworth Common | 0.9 mi']",London
Churchfield Quarter,"Finsbay Court, Ealing, London, W3 6RE","['Onsite maintenance', 'Onsite management', 'Parcel collection & storage', 'Bike storage', 'Lifts']",Churchfield Quarter is a build-to-rent in West London that understands a well-lived life always starts at home.,1425.0,1700.0,,,,"['Acton Central | 0.3 mi', 'South Acton | 0.5 mi', 'Acton Town | 0.6 mi']",London
Craven Gardens,"Craven Gardens, Merton, London, SW19 8LU","['Furnished', 'Common area', 'Work area', 'Wifi', 'Social events']","Located in South West London, Craven Gardens is a co-living development that promises a full, bold and exciting life for tenants.",,,,,700.0,"['Haydons Road | 0.2 mi', 'Wimbledon | 0.6 mi', 'South Wimbledon | 0.6 mi']",London
Eaton Court,"1 Clive Road, Lambeth, London, SE21 8DA","['Common area', 'Wifi', 'Social events', 'Communal garden', 'Smoke alarms']","Located in South East London, Eaton Court is a co-living development that promises safety, support and additional benefits for tenants.",,,,,700.0,"['Gipsy Hill | 0.4 mi', 'Sydenham Hill | 0.5 mi']",London
Elspeth Road,"Elspeth Road, Wandsworth, London, SW11 1DP","['Furnished', 'Common area', 'Wifi', 'Social events', 'Smoke alarms']","Located in South West London, Elspeth Road is a co-living facility that offers spacious living areas, good transportation and convenient amenities.",,,,,850.0,"['Clapham Junction | 0.4 mi', 'Clapham South | 0.9 mi', 'Clapham Common | 1.0 mi']",London
Enfield 1,"Bush Hill Park, Enfield, London, EN1 1BA","['Wifi', 'Social events', 'Smoke alarms', 'Built-in wardrobe', 'Oven']","Enfield 1 is a co-living that promises safety, support and additional benefits for tenants.",1150.0,,,,,"['Bush Hill Park | 0.0 mi', 'Enfield Town | 0.8 mi']",London
Enfield 2,"Old Park Road, Enfield, London, EN2 7DB","['Pet friendly', 'Furnished', 'Wifi', 'Social events', 'Communal garden']","Enfield 2 is a co-living facility that offers spacious living areas, good transportation and convenient amenities.",1200.0,,,,,"['Enfield Chase | 0.3 mi', 'Grange Park | 0.5 mi', 'Oakwood Station | 1.5 mi']",London
Ensign Court,"28 Ensign Street, Tower Hamlets, London, E1 8ND","['Onsite maintenance', 'Onsite management', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in East London, Ensign Court is a build-to-rent that goes out of its way to take care of tenants' daily well-being.",1500.0,1675.0,,,,"['Tower Gateway | 0.3 mi', 'Tower Hill | 0.4 mi', 'Aldgate East | 0.5 mi']",London
Franklin Place,"Franklin Place, Greenwich, London, SE13 7ES","['Furnished', 'Onsite maintenance', 'Common area', 'Wifi', 'Communal garden']","Located in South East London, Franklin Place is a co-living development that promises safety, support and additional benefits for tenants.",,,,,825.0,"['Elverson Road | 0.2 mi', 'Deptford Bridge | 0.2 mi', 'St Johns | 0.3 mi']",London
Great Woodcote Park,"10 Great Woodcote Park, Sutton, London, CR8 3QS","['Parking', 'Common area', 'Wifi', 'Social events', 'Communal garden']","Located in Croydon, Great Woodcote Park is a co-living development that offers generous living areas, beneficial amenities and access to public transport.",,,,,790.0,"['Purley | 1.0 mi', 'Reedham | 1.2 mi']",London
Hancock House,"Love Lane, Greenwich, London, SE18 6GU","['Furnished', 'Concierge', 'Parking', 'Lifts', 'Common area']","Located in South East London, Hancock House is a co-living development that offers spacious living areas, good transportation and convenient amenities.",1250.0,,,,,"['Woolwich Arsenal | 0.1 mi', 'Woolwich Dockyard | 0.5 mi', 'King George V | 0.9 mi']",London
Humbolt Road 1,"9 Humbolt Road, Hammersmith and Fulham, London, W6 8QH","['Furnished', 'Common area', 'Wifi', 'Social events', 'Smoke alarms']","Located in West London, Humbolt Road 1 is a co-living facility that offers spacious living areas, good transportation and convenient amenities.",,,,,875.0,"['Barons Court | 0.5 mi', 'West Kensington | 0.5 mi', 'West Brompton | 0.7 mi']",London
Humbolt Road 2,"9 Humbolt Road, Hammersmith and Fulham, London, W6 8QH","['Furnished', 'Wifi', 'Social events', 'Smoke alarms', 'Bed and mattress']","Located in West London, Humbolt Road 2 is a co-living that offers attractive, convenient accommodations and beautiful green communal space.",1450.0,,,,,"['Barons Court | 0.5 mi', 'West Kensington | 0.5 mi', 'West Brompton | 0.7 mi']",London
Mablethorpe Road,"Mablethorpe Road, Hammersmith and Fulham, London, SW6 6AH","['Furnished', 'Common area', 'Wifi', 'Social events', 'Roof terrace']","Located in South West London, Mablethorpe Road is a co-living development that offers generous living areas, beneficial amenities and access to public transport.",,,,,895.0,"['Parsons Green | 0.6 mi', 'Barons Court | 0.7 mi', 'West Brompton | 0.9 mi']",London
Manchester Road,"Manchester Road, Tower Hamlets, London, E14 3HW","['Furnished', 'Parking', 'Common area', 'Communal garden', 'Smoke alarms']","Located in East London, Manchester Road is a co-living development that promises a full, bold and exciting life for tenants.",,,,,875.0,"['Crossharbour | 0.3 mi', 'Mudchute | 0.4 mi', 'Island Gardens | 0.4 mi']",London
Mast House Terrace,"Mast House Terrace, Tower Hamlets, London, E14 3RW","['Furnished', 'Onsite maintenance', 'Parking', 'Common area', 'Communal garden']","Located in East London, Mast House Terrace is a co-living development that offers generous living areas, beneficial amenities and access to public transport.",,,,,735.0,"['Mudchute | 0.4 mi', 'Crossharbour | 0.6 mi', 'Island Gardens | 0.6 mi']",London
Milestone House,"434 Old Kent Road, Southwark, London, SE1 5YB","['Pet friendly', 'Onsite management', 'Parking', 'Parcel collection & storage', 'Bike storage']","Located in South East London, Milestone House is a build-to-rent that caters to growth, connection and a fulfilling lifestyle.",1350.0,1550.0,,,,"['South Bermondsey | 0.8 mi', 'Bermondsey | 0.9 mi', 'Queens Road (Peckham) | 1.0 mi']",London
Montway Heights,"Montague Road, Merton, London, SW19 1SA","['Pet friendly', 'CCTV', 'Controlled access', 'Common area', 'Smoke alarms']","Located in South West London, Montway Heights is a build-to-rent that understands that a well-lived life starts at home.",,1800.0,,,,"['South Wimbledon | 0.3 mi', 'Wimbledon | 0.5 mi', 'Haydons Road | 0.5 mi']",London
Oban Street,"Oban Street, Tower Hamlets, London, E14 0GR","['Furnished', 'Common area', 'Communal garden', 'Smoke alarms', 'Dining area']","Located in East London, Oban Street is a co-living development that offers spacious living areas, good transportation and convenient amenities.",,,,,850.0,"['Canning Town | 0.4 mi', 'East India | 0.4 mi', 'Bromley-by-Bow | 0.8 mi']",London
One Lampton Road,"1 Lampton Road, Hounslow, London, TW3 1HA","['Pet friendly', 'Furnished', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in Twickenham, One Lampton Road is a build-to-rent that focuses on health, amity and convenience.",1200.0,1600.0,,1058.0,,"['Hounslow Central | 0.2 mi', 'Hounslow | 0.5 mi', 'Hounslow East | 0.5 mi']",London
Pendle Road,"Pendle Road, Wandsworth, London, SW16 6RX","['Pet friendly', 'Furnished', 'Common area', 'Wifi', 'Social events']","Located in South West London, Pendle Road is a co-living development that offers generous living areas, beneficial amenities and access to public transport.",,,,,850.0,"['Streatham Common | 0.6 mi', 'Tooting | 0.7 mi', 'Tooting Broadway | 1.0 mi']",London
Pepys Road,"11 Pepys Road, Merton, London, SW20 8NJ","['Furnished', 'Parking', 'Common area', 'Work area', 'Wifi']","Located in South West London, Pepys Road is a co-living facility that promises safety, support and additional benefits for tenants.",,,,,775.0,"['Raynes Park | 0.1 mi', 'Wimbledon Chase | 0.6 mi', 'Wimbledon | 1.2 mi']",London
Rodenhurst Road,"20 Rodenhurst Road, Lambeth, London, SW4 8AR","['Furnished', 'Parking', 'Common area', 'Wifi', 'Social events']","Located in South West London, Rodenhurst Road is a co-living facility that promises safety, support and additional benefits for tenants.",,,,,850.0,"['Clapham Common | 0.5 mi', 'Clapham South | 0.7 mi', 'Clapham High Street | 0.7 mi']",London
Sidon Apartments,"Enfield Road, Ealing, London, W3 8JQ","['Pet friendly', 'Onsite maintenance', 'Onsite management', 'Parcel collection & storage', 'Bike storage']","Sidon Apartments is a build-to-rent in West London that offers generous living areas, beneficial amenities and access to public transport.",1375.0,1650.0,,,,"['Acton Town | 0.1 mi', 'South Acton | 0.4 mi', 'Ealing Common | 0.7 mi']",London
Stephendale Road,"Stephendale Road, Hammersmith and Fulham, London, SW6 2PR","['Furnished', 'Common area', 'Wifi', 'Social events', 'Communal garden']","Located in South West London, Stephendale Road is a co-living building that offers attractive, convenient accommodations and beautiful green communal space.",,,,,900.0,"['Imperial Wharf | 0.3 mi', 'Fulham Broadway | 0.6 mi', 'Parsons Green | 0.6 mi']",London
Thornton Gardens,"Thornton Gardens, Lambeth, London, SW12 0LG","['Furnished', 'Parking', 'Common area', 'Wifi', 'Social events']","Located in South West London, Thornton Gardens is a co-living development that offers generous living areas, beneficial amenities and access to public transport.",,,,,850.0,"['Streatham Hill | 0.5 mi', 'Balham | 0.8 mi', 'Clapham South | 0.9 mi']",London
Toland Square,"Toland Square, Wandsworth, London, SW15 5PA","['Furnished', 'Common area', 'Work area', 'Wifi', 'Social events']","Located in South West London, Toland Square is a co-living facility that offers spacious living areas, good transportation and convenient amenities.",,,,,700.0,"['Barnes | 0.7 mi', 'Putney | 1.1 mi']",London
Tournay Road,"56 Tournay Road, Hammersmith and Fulham, London, SW6 7UF","['Furnished', 'Common area', 'Wifi', 'Social events', 'Smoke alarms']","Located in South West London, Tournay Road is a co-living development that offers generous living areas, beneficial amenities and access to public transport.",,,,,875.0,"['Fulham Broadway | 0.4 mi', 'Parsons Green | 0.5 mi', 'West Brompton | 0.5 mi']",London
Treehurst Street,"57 Treehurst Street, Hackney, London, E5 0EB","['Furnished', 'Parcel collection & storage', 'CCTV', 'Common area', 'Work area']","Located in East London, Treehurst Street is a co-living development that offers attractive, convenient accommodations and beautiful green communal space.",,,,,900.0,"['Homerton | 0.4 mi', 'Hackney Wick | 0.7 mi', 'Stratford International | 1.2 mi']",London
Twist House,"34-42 Grange Road, Southwark, London, SE1 3DS","['Parcel collection & storage', 'Bike storage', 'Lifts', 'CCTV', 'Controlled access']","Located in South East London, Twist House is a build-to-rent that focuses on what's truly important which are health, amity and convenience.",1600.0,2000.0,,,,"['London Bridge | 0.6 mi', 'Bermondsey | 0.7 mi', 'Borough | 0.7 mi']",London
Waldeck Grove,"22 Waldeck Grove, Lambeth, London, SE27 0BE","['Furnished', 'Common area', 'Wifi', 'Social events', 'Smoke alarms']","Located in South East London, Waldeck Grove is a co-living development that promises a full and exciting life for tenants.",,,,,500.0,"['West Norwood | 0.2 mi', 'Tulse Hill | 0.4 mi']",London
Wandsworth Road,"655 Wandsworth Road, Lambeth, London, SW8 3AB","['Furnished', 'Common area', 'Wifi', 'Social events', 'Communal garden']","Located in South West London, Wandsworth Road is a co-living facility that promises a fully exciting life for tenants.",,,,,850.0,"['Wandsworth Road | 0.2 mi', 'Queenstown Road | 0.5 mi', 'Clapham Common | 0.5 mi']",London
Whitbread House,"17 Charles Clowes Walk, Nine Elms, Wandsworth, London, SW11 7AL","['Concierge', 'Parcel collection & storage', 'Lifts', 'CCTV', 'Controlled access']","Located in South West London, Whitbread House is a build-to-rent that promises a full and exciting life for tenants.",1650.0,1900.0,3000.0,,,"['Vauxhall | 0.5 mi', 'Pimlico | 0.5 mi', 'Battersea Park | 0.7 mi']",London
Willis House,"Willis House, Tower Hamlets, London, E14 0BX","['Furnished', 'Onsite maintenance', 'Common area', 'Wifi', 'Smoke alarms']","Located in East London, Willis House is a co-living facility that offers attractive, convenient accommodations and beautiful green communal space.",,,,,725.0,"['Poplar | 0.1 mi', 'West India Quay | 0.2 mi', 'Canary Wharf | 0.4 mi']",London
Worple Road,"98 Worple Road, Merton, London, SW19 4LS","['Furnished', 'Bike storage', 'Common area', 'Wifi', 'Social events']","Located in South West London, Worple Road is a co-living development that promises a full, bold and exciting life for tenants.",,,,,850.0,"['Wimbledon Chase | 0.5 mi', 'Wimbledon | 0.6 mi', 'South Wimbledon | 1.1 mi']",London
County House,"221-241 Beckenham Road, Bromley, London, BR3 4UF","['Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts', 'CCTV']","Located in Bromley, County House is a build-to-rent that caters to growth, connection and a fulfilling lifestyle.",1033.0,,,,,"['Clock House | 0.2 mi', 'Kent House | 0.2 mi']",London
The Gessner,"3 Watermead Way, Haringey, London, N17 9QZ","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parcel collection & storage']","Located in North London, The Gessner is a build-to-rent that promises a full, bold and exciting life for tenants.",1945.0,2395.0,2950.0,1450.0,,"['Tottenham Hale | 0.1 mi', 'Bruce Grove | 0.5 mi', 'Seven Sisters | 0.7 mi']",London
Packington Square,"Packington Square, Islington, London, N1 7UP","['Concierge', 'Parking', 'Parcel collection & storage', 'Lifts', 'CCTV']","Located in North London, Packington Square is a build-to-rent that focuses on what is truly important in life: Health, amity and convenience.",1946.0,1993.0,,,,"['Essex Road | 0.4 mi', 'Angel | 0.5 mi', 'Old Street | 0.8 mi']",London
Bermondsey Spa,"11-13 Spa Road, Southwark, London, SE16 3RB","['Furnished', 'Parking', 'Bike storage', 'Lifts', 'CCTV']","Located in South East London, Bermondsey Spa is a build-to-rent that has generous living areas, beneficial amenities and great access to public transport.",1560.0,1750.0,,,,"['Bermondsey | 0.5 mi', 'London Bridge | 0.7 mi', 'Wapping | 1.0 mi']",London
Wing,"240-252 Camberwell Road, Southwark, London, SE5 0DP","['Furnished', 'Parking', 'Bike storage', 'Lifts', 'CCTV']","Located in South East London, Wing is a build-to-rent that has all one needs for a fun, loving and productive life.",1430.0,1710.0,2600.0,,,"['Denmark Hill | 0.7 mi', 'Loughborough Junction | 0.8 mi', 'Oval | 0.9 mi']",London
VIDA Battersea,"2 Gartons Way, Wandsworth, London, SW11 3HR","['Furnished', 'Concierge', 'Onsite management', 'Parking', 'Parcel collection & storage']","Located in South West London, VIDA Battersea is a build-to-rent that understands that a well-lived life always starts at home.",1725.0,2020.0,3120.0,,,"['Wandsworth Town | 0.4 mi', 'Clapham Junction | 0.6 mi', 'Parsons Green | 1.1 mi']",London
Apt Parkview,"Great West Road, Hounslow, London, TW8 9GU","['Pet friendly', 'Concierge', 'Parking', 'Parcel collection & storage', 'Bike storage']","Located in Twickenham, Apt Parkview is a build-to-rent that promises a full and exciting life for tenants.",1360.0,1800.0,,,,"['Syon Lane | 0.1 mi', 'Isleworth | 0.7 mi', 'Boston Manor | 0.9 mi']",London
Albion Court,"Albion Place, Hammersmith and Fulham, London, W6 0QT","['Furnished', 'Concierge', 'Onsite management', 'Parking', 'Parcel collection & storage']","A build-to-rent in West London that promises safety, support and additional benefits for tenants.",1499.0,1699.0,,1300.0,,"['Ravenscourt Park | 0.2 mi', 'Hammersmith | 0.3 mi', ""Shepherd's Bush Market Station | 0.9 mi""]",London
The Didsbury,"Didsbury Close, Newham, London, E6 2RT","['Pet friendly', 'Furnished', 'Onsite management', 'Parking', 'Bike storage']","Located in East London, The Didsbury is a build-to-rent that puts tenants' living quality at the top of its list of priorities.",1450.0,1600.0,1725.0,,,"['East Ham Station | 0.5 mi', 'East Ham Station (Stop B) | 0.5 mi', 'East Ham Station (Stop A) | 0.5 mi']",London
Iona Tower Apartments,"33 Ross Way, Tower Hamlets, London, E14 7PQ","['Furnished', 'Parcel collection & storage', 'Bike storage', 'Lifts', 'CCTV']","Located in East London, Iona Tower Apartments is a Build to Rent development that promises safety, support and additional benefits for tenants.",1325.0,1595.0,2295.0,,,"['Limehouse | 0.2 mi', 'Westferry | 0.4 mi', 'West India Quay | 0.7 mi']",London
Stratford Studios,"20 Romford Road, Newham, London, E15 4BZ","['Furnished', 'Concierge', 'Onsite management', 'Parking', 'Parcel collection & storage']","Located in East London, Stratford Studios is a Build to Rent development that covers all tenants' needs with unlimited enthusiasm and abundant resources.",,,,1100.0,,[],London
Blackwall Reach,"1A Prestage Way, Tower Hamlets, London, E14 9QE","['Pet friendly', 'Concierge', 'Onsite management', 'Parcel collection & storage', 'Bike storage']","Located in East London, Blackwall Reach is a build-to-rent that promotes a comfortable lifestyle with an extensive range of modern amenities.",1842.0,1995.0,,,,"['Blackwall | 0.1 mi', 'East India | 0.3 mi', 'Canary Wharf | 0.5 mi']",London
Fresh Wharf Barking,"6 Drydock Square, Barking and Dagenham, London, IG11 7BP","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located in Ilford, Fresh Wharf Barking is a build-to-rent that satisfies all kinds of tenants with a unique design, an abundance of amenities and well-connected transport links.",1415.0,1735.0,,,,"['Barking | 0.6 mi', 'East Ham Station | 1.0 mi', 'East Ham Station (Stop B) | 1.0 mi']",London
Windlass Apartments,"Ferry Lane, Haringey, London, N17 9NF","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in North London, Windlass Apartments is a build-to-rent that covers all the needs of its tenants with an abundance of enthusiasm and resources.",1638.0,2023.0,2515.0,,,"['Tottenham Hale | 0.2 mi', 'Blackhorse Road | 0.6 mi']",London
Euro House and Brook Point,"1394-1400 High Road, Barnet, London, N20 9BH","['Furnished', 'Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in North London, Euro House and Brook Point is a build-to-rent that offers close-to-nature modern apartments.",1310.0,1625.0,,,,"['Totteridge & Whetstone | 0.3 mi', 'Oakleigh Park | 0.5 mi', 'New Barnet | 1.0 mi']",London
XY Air,"York Way, Camden, London, N7 9GY","['Furnished', 'Concierge', 'Onsite management', 'Parcel collection & storage', 'Bike storage']","Located in North London, XY Air is a build-to-rent that promotes a healthy lifestyle with a location full of greenery and beneficial amenities.",1885.0,2275.0,,,,"['Caledonian Road & Barnsbury | 0.5 mi', 'Caledonian Road | 0.5 mi', 'Camden Road | 0.6 mi']",London
Abbey Road Cross,"131-143 Belsize Road, Camden, London, NW6 4BR","['Concierge', 'Onsite management', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in North West London, Abbey Road Cross is a build-to-rent that focuses on the most important things in life: Health, amity and convenience.",1733.0,2098.0,3080.0,,,"['Kilburn High Road | 0.2 mi', 'South Hampstead | 0.4 mi', 'Kilburn Park | 0.4 mi']",London
Beam Park Rainham,"Thames Avenue, Barking and Dagenham, London, RM9 6DE","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located in Romford, Beam Park Rainham is a build-to-rent with a wide selection of attractive purpose-built rental accommodations and modern amenities.",1295.0,1450.0,,,,"['Dagenham Dock | 0.7 mi', 'Rainham | 1.3 mi', 'Dagenham Heathway | 1.4 mi']",London
Oldchurch Park,"84 Oldchurch Rd, Havering, London, RM7 0DJ","['Furnished', 'Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in Romford, Oldchurch Park is a build-to-rent that has all one needs for a fun, loving and productive life.",,1300.0,1500.0,,,['Romford | 0.5 mi'],London
Hornchurch,"75 North Street, Havering, London, RM11 1ST","['Onsite management', 'Parcel collection & storage', 'Bike storage', 'CCTV', 'Controlled access']","Located in Romford, Hornchurch is a build-to-rent that satisfies all kinds of tenants with a unique design, an abundance of amenities and well-connected transport links.",,1350.0,,,,"['Emerson Park | 0.2 mi', 'Hornchurch | 0.8 mi', 'Upminster Bridge | 0.8 mi']",London
Howick Place,"1-7 Howick Place, Westminster, London, SW1P 1WG","['Furnished', 'Parking', 'Lifts', 'CCTV', 'Controlled access']","Located in South West London, Howick Place is a build-to-rent with great traffic connections, modern amenities and an elegant design.",2283.0,3445.0,,,,"[""St. James's Park | 0.2 mi"", 'Victoria Station | 0.4 mi']",London
Keybridge,"80 S Lambeth Rd, Lambeth, London, SW8 1RG","['Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parcel collection & storage']","Located in South West London, Keybridge is a build-to-rent that understands that a well-lived life always starts at home.",1863.0,2609.0,3467.0,1467.0,,"['Nine Elms | 0.2 mi', 'Vauxhall | 0.3 mi', 'Wandsworth Road | 1.0 mi']",London
Porchester Road Apartments,"5-7 Porchester Road, Westminster, London, W2 4SJ","['Furnished', 'Onsite maintenance', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in West London, Porchester Road Apartments is a build-to-rent that has all one needs for a fun, loving and productive life.",,,,1560.0,,"['Royal Oak | 0.2 mi', 'Bayswater | 0.3 mi', 'Paddington Station | 0.5 mi']",London
Hassett Road,"Hassett Rd, London E9 5SW, London, E9 5SW",[],"Hassett Rd, London E9 5SW, London, E9 5SW",,,,,975.0,"['Furnished', 'Common area', 'Roof terrace', 'Smoke alarms', 'Built-in wardrobe', 'Shared Flat', 'Hackney Central | 0.7 mi', 'Stratford International | 1.4 mi']",London
Exchange Court,"3 Bedford Park, Croydon, London, CR0 2AQ","['Onsite maintenance', 'Lifts', 'CCTV', 'Controlled access', 'Common area']","Located in Croydon, Exchange Court is a Build to Rent that promises safety, support and additional benefits for tenants.",1000.0,1150.0,,,,"['West Croydon | 0.2 mi', 'East Croydon | 0.4 mi']",London
Caxton Place,"Roden Street, Redbridge, London, IG1 2AH","['Concierge', 'Parcel collection & storage', 'Lifts', 'CCTV', 'Controlled access']","Situated near multiple transport links, Caxton Place delivers not only convenience and comfort to your daily life but also a comprehensive range of amenities and flexible furnishing options.",,,,1210.0,,"['Ilford | 0.2 mi', 'Manor Park | 1.0 mi']",London
30 Harbord Square,"30 Harbord Square, Tower Hamlets, London, E14 9NJ","['Onsite management', 'Parcel collection & storage', 'Bike storage', 'Lifts', 'CCTV']",30 Harbord Square offers residents cosy homes that are within close proximity to different amenities and transport links.,1165.0,1166.0,1399.0,1165.0,,"['South Quay | 0.3 mi', 'Canary Wharf | 0.3 mi', 'Blackwall | 0.4 mi']",London
Canterbury House,"2-6 Sydenham Road, Croydon, London, CR0 9XE","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']",Canterbury House offers apartments with easy access to transport links and an abundance of activities within walking distance.,1250.0,1450.0,,,,"['West Croydon | 0.2 mi', 'East Croydon | 0.3 mi']",London
Grace Lodge,"181 Clarence Road, Hackney, London, E5 8EE","['Furnished', 'Roof terrace', 'Smoke alarms', 'Bed and mattress', 'Built-in wardrobe']",Grace Lodge offers contemporary apartments that are within walking distance from different amenities and places.,1517.0,,2838.0,,,"['Hackney Central | 0.5 mi', 'Dalston Kingsland | 0.9 mi']",London
Sotherby Court,"43 Sewardstone Road, Tower Hamlets, London, E2 9JQ","['Furnished', 'Bike storage', 'Lifts', 'CCTV', 'Smoke alarms']","Located in East London, Sotherby Court is a Build to Rent that promises safety, support and additional benefits for tenants.",1842.0,2600.0,2882.0,,,"['Bethnal Green | 0.5 mi', 'Mile End Station | 0.9 mi', 'Hackney Central | 1.0 mi']",London
Phoenix Loft Apartments,"Saltwell Street, Tower Hamlets, London, E14 0BP","['Furnished', 'Lifts', 'CCTV', 'Roof terrace', 'Smoke alarms']",Phoenix Loft Apartments offers fully furnished apartments to create a unique living experience at a Build to Rent in East London.,1517.0,1777.0,3185.0,,,"['Poplar | 0.2 mi', 'West India Quay | 0.2 mi', 'Canary Wharf | 0.5 mi']",London
Rockland Apartments,"5 Lakenham Place, Tower Hamlets, London, E3 4HQ","['Furnished', 'Bike storage', 'CCTV', 'Smoke alarms', 'Bed and mattress']","Encompassing high-quality apartments with ample space and must-have amenities, Rockland Apartments is a fitting choice for tenants in the modern day.",,1733.0,2851.0,,,"['Mile End Station | 0.3 mi', 'Bow Road | 0.5 mi', 'Devons Road | 0.6 mi']",London
Neutron Tower,"6 Blackwall Way, Tower Hamlets, London, E14 9GW","['Furnished', 'Concierge', 'Parking', 'Parcel collection & storage', 'Lifts']","Located in a prime area of East London, Neutron Tower offers furnished apartments with a comprehensive range of in-house amenities to create a comfortable living experience.",1408.0,1746.0,2557.0,,,"['East India | 0.1 mi', 'Blackwall | 0.3 mi', 'Canning Town | 0.5 mi']",London
Viscount House,"8 Lakeside Drive, Brent, London, NW10 7GT","['Parking', 'Bike storage', 'Lifts', 'CCTV', 'Controlled access']","Situated near multiple transport links, Viscount House delivers convenience and comfort to your daily life. It offers a comprehensive range of amenities and flexible furnishing options.",1350.0,1659.0,2470.0,,,"['Park Royal | 0.2 mi', 'Hanger Lane | 0.5 mi', 'Stonebridge Park | 1.0 mi']",London
Mercantile House,"38 Grainge's Yard, Hillingdon, London, UB8 1SR","['Parcel collection & storage', 'Bike storage', 'Lifts', 'CCTV', 'Controlled access']","With an extensive range of modern facilities, this prime residential development in Southall promises to give tenants a comfortable living experience.",,,,795.0,,"['Uxbridge Underground Station | 0.1 mi', 'Hillingdon | 1.4 mi']",London
Principal Tower,"Principal Place, Hackney, London, EC2A 2BA","['Furnished', 'Concierge', 'Parking', 'Parcel collection & storage', 'Bike storage']","With an extensive range of modern facilities, this prime residential development in East Central London promises to give tenants comfortable living experiences.",3012.0,3878.0,8017.0,,,"['Shoreditch High Street | 0.2 mi', 'Liverpool Street Station | 0.2 mi', 'Liverpool Street | 0.3 mi']",London
Long & Waterson,"7 Long Street, Hackney, London, E2 8GS","['Concierge', 'Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in an excellent location of East London, Long & Waterson offers tenants flexible furnished apartments, an abundance of first-class amenities and transport links to create the highest living standard.",2492.0,2817.0,3683.0,,,"['Hoxton | 0.2 mi', 'Shoreditch High Street | 0.4 mi', 'Old Street | 0.5 mi']",London
The Atlas Building,"145 City Road, Hackney, London, EC1V 1AA","['Furnished', 'Concierge', 'Parcel collection & storage', 'Lifts', 'CCTV']","Located in a prime area of East Central London, The Atlas Building offers furnished apartments with a comprehensive range of in-house amenities to create a comfortable living experience.",2578.0,3467.0,4312.0,2275.0,,"['Old Street | 0.1 mi', 'Hoxton | 0.6 mi', 'Moorgate | 0.6 mi']",London
The Heron,"5 Moor Lane, City of London, London, EC2Y 9BB","['Furnished', 'Concierge', 'Parcel collection & storage', 'Lifts', 'CCTV']",The Heron offers residents with beautifully furnished apartments and a great community in East Central London.,2925.0,3878.0,,2275.0,,"['Moorgate | 0.1 mi', 'Barbican | 0.3 mi', 'Liverpool Street Station | 0.4 mi']",London
The Silk District,"91 Sidney Street, Tower Hamlets, London, E1 2FZ","['Furnished', 'Concierge', 'Parking', 'Parcel collection & storage', 'Bike storage']",The Silk District offers an abundance of amenities that creates a unique living experience for residents in East London.,1950.0,2513.0,2817.0,1300.0,,"['Whitechapel | 0.2 mi', 'Whitechapel Station | 0.3 mi', 'Stepney Green Station | 0.5 mi']",London
